ACER,ALCATEL,ALLVIEW,AMAZON,AOC,APPLE,ARCHOS,ASUS,Barnes&Noble,BQ,BLU,CAT,CELKON,Croma,D-Link,Datawind,DELL,Flipkart,GeeksPhone,GlobalSpaceTechnologies,Google,HP,HTC,HONOR,HUAWEI,ICEMOBILE,Intex,iBall,iBerry,JOLLA,KARBONN,LAVA,LENOVO,LG,MapmyIndia,Mercury,Metis,MICROMAX,MICROSOFT,Milagrow,MillenniumTelesystems,Mitashi,MOTOROLA,Nokia,Notion Ink,NVIDIA,Panasonic,Pantel,PLUM,PRESTIGO,QMOBILE,QTEK,RAZER,REALME,SAGEM,SAMSUNG,Smart,Smartlink,Smartron,SONY,SPICE,Swipe,T-MOBILE,Toshiba,VERYKOOL,Videocon,Wickedleak,Wintab,XIAOMI,XOLO,YEZZ,ZTE,Zebronics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab S 10.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab S 10.5 LTE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab S 8.4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab S 8.4 LTE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galaxy Tab T-Mobile T849,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Nexus 10 P8110,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Nexus S,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Nexus S 4G,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Nexus S I9020A,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google Nexus S I9023,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6200 Galaxy Tab 7.0 Plus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6210 Galaxy Tab 7.0 Plus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6800 Galaxy Tab 7.7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6810 Galaxy Tab 7.7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P7100 Galaxy Tab 10.1v,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P7500 Galaxy Tab 10.1 3G,,,,,,,,,,,,,,,,,
