ACER,ALCATEL,ALLVIEW,AMAZON,AOC,AMOI,APPLE,ARCHOS,ASUS,AT&T,BENEFON,BENQ,BENQ-SIEMENS,BIRD,BLACKBERRY,BLACK VIEW,BLU,BOSCH,BQ,CASIO,CAT,CELKON,CHEA,COOLPAD ,DELL,EMPORIA,ENERGIZER,ERICSSON,ETEN,FUJITSU SIEMENS,GARMIN-AUS,GIGABYTE,GIONEE,GOGGLE,HAIER,HONOR,HP,HTC,HUAWEI,I-MATE,I-MOBILE,ICEMOBILE,INFINIX,INNOSTREAM,INQ,INTEX,JOLLA,KARBONN,KYOCERA,LAVA,LEECO,LENOVO,LG,MAXON,MAXWEST,MEIZU,MICROMAX,MICROSOFT,MITAC,MITSUBISHI,MODU,MOTOROLA,MWG,NEC,NEONODE,NIU,NOKIA,NVIDIA,O2,ONEPLUS,OPPO,ORANGE,PALM,PANASONIC,PANTAECH,PARLA,PHILIPS,PLUM,POSH,PRESTIGO,QMOBILE,QTEK,RAZER,REALME,SAGEM,SAMSUNG,SENDO,SEWON,SHARP,SIEMENS,SONIM,SONY,SONY ERICSSON,SPICE,T-MOBILE,TCL,TECNO,TEL.ME.,TELIT,THURAYA,TOSHIBA,ULEFONE,UNNECTO,VERTU,VERYKOOL,VIVO,VK MOBILE,VODAFONE,WIKO,WND,XCUTE,XIAOMI,XOLO,YEZZ,YOTA,YU,ZTE
,OT-203,,,,,,,,,,,,,,,Samba Mini,,,,,C90,,,,,,,,,,,,,,,,One S,P30 Pro,,,,,,,,,,,,,,G8000,,,,Canvas xp 4G Q413,,,,,MC55,,,,,6810,,,,,,,,,,X312,,,,,,,,,D730,,,,,,,K205,,,,,,,,,,,,,,,,,,,,,,,,nubia N1 lite
,OT-206,,,,,,,,,,,,,,,Samba Q,,,,,C909,,,,,,,,,,,,,,,,One S C2,P8,,,,,,,,,,,,,,G8S ThinQ,,,,Canvas Xpress 2 E313,,,,,ME632,,,,,6820,,,,,,,,,,X320,,,,,,,,,D780,,,,,,,K200,,,,,,,,,,,,,,,,,,,,,,,,nubia N2
,OT-208,,,,,,,,,,,,,,,Samba TV,,,,,C60,,,,,,,,,,,,,,,,One S9,P8 Lite (2017),,,,,,,,,,,,,,G8X ThinQ,,,,Canvas Xpress 4G Q413,,,,,MILESTONE,,,,,6822,,,,,,,,,,X331,,,,,,,,,D780 flip,,,,,,,J120,,,,,,,,,,,,,,,,,,,,,,,,nubia N3
,OT-209,,,,,,,,,,,,,,,Samba W,,,,,C305,,,,,,,,,,,,,,,,One SC,P8lite,,,,,,,,,,,,,,GB102,,,,Dual 4 E4816,,,,,MILESTONE 2,,,,,7020,,,,,,,,,,X332,,,,,,,,,D800,,,,,,,J110,,,,,,,,,,,,,,,,,,,,,,,,nubia Prague S
,OT-213,,,,,,,,,,,,,,,Selfie,,,,,C220,,,,,,,,,,,,,,,,One ST,P8lite ALE-L04,,,,,,,,,,,,,,GB106,,,,Dual 5,,,,,MILESTONE 2 ME722,,,,,7110,,,,,,,,,,X333,,,,,,,,,D810,,,,,,,K550im,,,,,,,,,,,,,,,,,,,,,,,,nubia Red Magic
,OT-216,,,,,,,,,,,,,,,Slim TV,,,,,C303,,,,,,,,,,,,,,,,One SV,P8max,,,,,,,,,,,,,,GB109,,,,Evok Dual Note E4815,,,,,MILESTONE 3 XT860,,,,,7200,,,,,,,,,,X500,,,,,,,,,D820,,,,,,,K800,,,,,,,,,,,,,,,,,,,,,,,,nubia Red Magic 3
,OT-217,,,,,,,,,,,,,,,Smart,,,,,C201,,,,,,,,,,,,,,,,One SV CDMA,P9,,,,,,,,,,,,,,GB110,,,,G4,,,,,MILESTONE XT720,,,,,7210,,,,,,,,,,X510,,,,,,,,,D830,,,,,,,K790,,,,,,,,,,,,,,,,,,,,,,,,nubia Red Magic 3s
,OT-222,,,,,,,,,,,,,,,Spark,,,,,C202,,,,,,,,,,,,,,,,One V,P9 lite,,,,,,,,,,,,,,GB125,,,,GC275,,,,,Milestone XT883,,,,,7230,,,,,,,,,,X516,,,,,,,,,D840,,,,,,,P990,,,,,,,,,,,,,,,,,,,,,,,,nubia Red Magic Mars
,OT-223,,,,,,,,,,,,,,,Speed,,,,,C404,,,,,,,,,,,,,,,,One VX,P9 lite mini,,,,,,,,,,,,,,GB130,,,,GC333,,,,,Moto C,,,,,7250,,,,,,,,,,X518,,,,,,,,,D870,,,,,,,K510,,,,,,,,,,,,,,,,,,,,,,,,nubia V18
,OT-228,,,,,,,,,,,,,,,Sport 4.5,,,,,C5050,,,,,,,,,,,,,,,,One X,P9 Plus,,,,,,,,,,,,,,GB160,,,,GC360,,,,,Moto C Plus,,,,,7260,,,,,,,,,,X525,,,,,,,,,D880 Duos,,,,,,,K310,,,,,,,,,,,,,,,,,,,,,,,,nubia X
,OT-252,,,,,,,,,,,,,,,Studio 5.0,,,,,C227,,,,,,,,,,,,,,,,One X AT&T,Pillar,,,,,,,,,,,,,,GB170,,,,GC400,,,,,Moto E,,,,,7270,,,,,,,,,,X526,,,,,,,,,D900,,,,,,,M600,,,,,,,,,,,,,,,,,,,,,,,,nubia X 5G
,OT-255,,,,,,,,,,,,,,,Studio 5.0 C,,,,,i9,,,,,,,,,,,,,,,,One X+,Premia 4G M931,,,,,,,,,,,,,,GB190,,,,GC700,,,,,Moto E (2nd gen),,,,,7280,,,,,,,,,,X528,,,,,,,,,D900i,,,,,,,M608,,,,,,,,,,,,,,,,,,,,,,,,nubia X6
,OT-280,,,,,,,,,,,,,,,Studio 5.0 C HD,,,,,C2010,,,,,,,,,,,,,,,,One X10,SnapTo,,,,,,,,,,,,,,GB210,,,,H360,,,,,Moto E Dual SIM,,,,,7360,,,,,,,,,,X550,,,,,,,,,D980,,,,,,,J100,,,,,,,,,,,,,,,,,,,,,,,,nubia Z11
,OT-282,,,,,,,,,,,,,,,Studio 5.0 CE,,,,,C207,,,,,,,,,,,,,,,,One X9,Summit,,,,,,,,,,,,,,GB220,,,,Infinity N11,,,,,Moto E Dual SIM (2nd gen),,,,,7370,,,,,,,,,,X603,,,,,,,,,Dart T499,,,,,,,J230,,,,,,,,,,,,,,,,,,,,,,,,nubia Z11 Max
,OT-292,,,,,,,,,,,,,,,Studio 5.0 E,,,,,A1,,,,,,,,,,,,,,,,One XC,T156,,,,,,,,,,,,,,GB230 Julia,,,,Infinity N12,,,,,Moto E3,,,,,7373,,,,,,,,,,X605,,,,,,,,,DoubleTime I857,,,,,,,J220,,,,,,,,,,,,,,,,,,,,,,,,nubia Z11 mini
